P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10393201A0654|66 78|DNA ligase III
P09049270A0488|66 78|MT-like genes
P00089778A0000|70 83|C3-complement
P07799948A0777|66 77|Raf-1 kinase
P10092847A0455|65 76|hMT-IIA gene
P08530384A0559|68 79|Oct proteins
P08672242A0517|65 75|P1 promoter
P09849961A0387|67 77|PI 3-kinase
P02829183A0117|66 77|translocase
P07913926A0878|67 77|ntcA mutant
P10683244A1860|68 78|NBF2 domain
P09584165T0000|63 72|G proteins
P07543684A1027|65 73|CFTR gene
P09271417A1011|66 74|ERR alpha
P09582306T0000|66 74|G protein
P01320640A0336|69 77|glucagon
P08294429A0153|64 71|hGh cDNA
P07729427A0942|66 74|hTAFII28
P02115115A1053|66 73|CAR1 URS
P07616563A0532|65 71|DNase I
P08387155A1248|66 72|topo II
P11007777A0813|67 74|junctin
P10051488A1610|65 71|HMAP-1
P10501969A1329|66 72|GATA-4
P11316127A0485|65 71|HCM-II
P10364319A0109|64 70|EBNA3C
P07528325A0165|67 72|Stat1
P07972237A0665|66 71|N-myc
P09003311A0478|66 71|porCa
P09773981A0415b|67 72|Stat5
P01824713A0964|65 70|c-jun
P08871567A0000|65 70|c-myc
P08386319A1229|68 73|Mpk1p
P08682317A0900|67 72|HSF-1
P07983744A0920|65 70|IE175
P08595878A0201|67 71|Ras1
P11559821A1315|66 70|CREB
P09346925A0660|64 68|HPK1
P08355697A0000|69 73|PTKs
P07192722A0682|68 72|iPTH
P07476963A0000|70 74|RXRs
P09182707A0254|68 72|p125
P10580438A0508|68 72|G4RE
P09799362A0507|68 72|AZF1
P01373374A0735|67 71|GBF1
P11128925A0000|66 70|IL-6
P08395014A1364|68 72|BCK2
P10823961A0664|64 68|TRAP
P02131652A0883|66 69|l-1
P00377466A0188|69 72|FSH
P09067577A0307|67 70|CRK
P10087993A1352|67 70|BP2
P09517989A0476|64 67|CD4
P01709933T0000|67 70|pS1
P02243093A0000|66 69|Tax
P11195401A1030|65 68|AVP
P08668210A0000|67 70|MEK
P11160307A0394|68 71|H22
P08808707A0631|68 71|ERK
P10490639A0000|69 72|Cdk
P08561897A0604|69 72|USF
P10961046A0342|66 69|vWF
P07528772A0616|67 70|TCR
P11007954A0170|67 70|Sos
P07919540A0240|66 69|p64
P02809722A0926|67 69|GH
P07789809A1246|64 66|Vc
P11478627A0573|63 65|Y1
P02894789A0954|66 68|T4
P07874060A0810|66 68|XO
P09079902A0713|66 68|Pk
P08139004A0278|66 67|U
P09159183A0119|66 117|basic-region leucine zipper (bZIP) transcription factors
P07735833A1078|67 100|seryl- and aspartyl-tRNA synthetases
P11006284T0000|70 96|insulin receptor substrate-1
P08245013A0000|69 94|G-protein-linked receptors
P02473907A1338|63 84|Fc epsilon R binding site
P08601283A0875|64 87|bacterial selenoproteins
P08035796A0890|68 89|casein kinase II mutants
P09525891T0000|67 90|cAMP-responsive sequence
P03275867A0187|67 87|silent mating type loci
P08794869A0274|66 84|alpha 2 integrin gene
P07490766T0000|70 89|c-Myc leucine zippers
P11222387A1497|65 82|ABL tyrosine kinase
P11559789A0314|69 86|SF2 splicing factor
P08940298A0962|67 84|vitamin D3 receptor
P09083291A1378|68 83|G1 phase cyclin D1
P01844982A0324|72 88|rheumatoid factor
P01675424A0991|67 83|NADH-NR sequences
P08468475A1280|70 85|IL-2R alpha chain
P10601290A0742|67 83|wild-type peptide
P09531538A0983|69 84|dU2AF38 RS domain
P09584180A0701|68 83|endogenous Stat6
P03612648A0085|68 82|thromboplastin
P09362499A0000|67 80|DNA invertases
P11353770A0085|65 78|N-glycosylase
P10207041A0065|66 77|cyclin genes
P02559630A0270|70 81|prothrombin
P01702972A0613|67 77|G0S19 genes
P09614106T0000|67 77|Col2a1 gene
P06858805A0314|68 79|Trycophytin
P11031252A0646|66 76|HMW isoform
P09282911A0277|66 77|neurogranin
P07535768A1076|67 76|mouse MKP1
P10913276A0684|67 77|PLC-gamma1
P09806857A0854|67 77|invertases
P10855796A1160|67 76|EphA8 gene
P10369926A0251|67 75|human IL8
P09811718A0979a|66 74|HIV-1 nef
P11116148A0741|69 78|C/EBPbeta
P09147420A0623|68 76|HIV-1 LTR
P09168134A0858|66 74|Sm-E gene
P11391531A1157|66 75|TNF-alpha
P09046384A0403|69 76|amylase
P10640683A0670|69 76|NeuroD2
P00984209A0614|67 74|gastrin
P10938109A1361|67 74|insulin
P10490604A0601|66 72|ZAP-70
P10521509A0000|68 74|EGL-10
P07891685A1051|68 73|Cat8p
P09651383A0967|66 71|HNF-4
P07935375A1197|68 73|v-src
P09915798A1077|69 74|hsp90
P09006914A0812|66 71|ATF-2
P10850719A0680|67 72|Vbeta
P09346935A0459|70 75|ZNF74
P01845899A0000|68 73|Rep52
P10826946A1198|67 72|gp120
P01314953A1266|66 70|HAP3
P09077108A0458|67 71|IL-6
P11139469A0402|68 72|Tie2
P08631685A0000|69 73|maoA
P10874044A0647|68 72|ERK1
P11152451A0529|68 72|Sj26
P08918885A1087|67 71|dig2
P09662339A0744|67 71|AP-1
P10704410T0000|69 73|Mcm2
P09436989A1011|65 69|MOB1
P08550470A1021|65 69|CheA
P07500386A0870|70 73|GRD
P09448268A0186|64 67|nmo
P10545192T0000|72 75|ERK
P10891399A1185|69 72|p21
P08067546A0000|68 71|ETO
P02139891A0532|68 71|EIV
P11473261A0587|68 71|GEF
P11504709A0981|67 70|TPO
P08288554A0295|64 67|p32
P11413148A0573|64 67|BTK
P11522658A0870|66 69|p27
P08709224T0000|66 69|SNF
P08770021T0000|67 70|Ras
P08195186A0000|68 71|Tea
P08144615A0533|67 70|TCD
P10329736A1106|67 70|Shc
P08405433A0000|68 70|P1
P10662614A0972|67 69|P1
P07629163A0770|68 106|guanine nucleotide exchange factor domains
P11287578A1311|71 107|10-kappaDa IFN-gamma-inducible protein
P09658405A0000|66 98|orphan nuclear receptor superfamily
P07854130A1387|68 99|chromosomal pilE insertion mutants
P02115121A0000|67 99|alpha-ketoglutarate dehydrogenase
P07585246T0000|67 96|Caenorhabditis elegans pre-mRNA
P10212278A0387|71 100|stress-activated protein kinase
P08640866A0473|67 95|anti-CD3 monoclonal antibodies
P08514766A0732|68 92|GTPase-activating protein
P01452037A0000|73 97|3-phosphoglycerate kinase
P10704499A0682|69 91|fibroblast growth factor
P07983011A0617|69 92|serine/threonine kinases
P06795832A0148|65 86|HBs- and HBe-antibodies
P10585417A1412|69 90|human intermediate PRLr
P08816759A0000|65 85|retinoic acid receptor
P07754713A0227|66 85|ribosomal protein S24
P10673426A0168|69 88|N-terminal (T) domain
P02038326A0538|69 88|80S ribosomal couples
P10959838A0153|65 85|nitrilase superfamily
P11278594A0618|67 86|TGF-beta1 propeptide
P09209438A0994|68 87|GATA-binding protein
P07588608A1687|68 84|ets family of genes
P08355696A0236|66 84|AP-1-like sequences
P10501965A0879|68 85|ribosomal s6 kinase
P10704285A0536|70 87|AP-2alpha promoter
P08522511A1578|66 84|beta-glucuronidase
P11256962A0233|69 84|beta subunit gene
P07698219A0551|66 81|laminin receptor
P02461368A0162|66 79|type X collagen
P11516890A0236|70 82|CYP 2D6 and 3A4
P01711041A0348|69 82|C5 alpha-chain
P01349837T0000|70 82|HSP60 and gene
P09924987A0000|69 82|N-glycosidase
P10706688A0376|66 78|fasl promoter
P01386897A0000|65 76|CDC28 kinase
P02303158T0000|68 79|trk oncogene
P07753796A0743|67 78|eIF-2B alpha
P09383188A0654|65 76|O(rocD) site
P09407031A0974|69 80|crb2 mutants
P02993630A1190|66 76|nuclease S1
P07385920A0189|69 80|haemoglobin
P11376119A0346|67 76|GHR 1A mRNA
P09042755T0000|69 79|sigB operon
P08552095A0758|68 78|paf1 mutant
P11137296A1216|66 76|PFK-C genes
P07517869A0411|70 81|C/EBP-delta
P10764150A0000|67 77|Raf kinases
P07499252A0150|67 77|PI 3-kinase
P09325273A1240|66 75|ubiquitin
P09804779A1163|68 77|prolactin
P09990060A0937|69 78|GABPalpha
P10223338A2186|66 74|HIV-2 gag
P10628750A0298|68 76|TNFalpha
P08661100A0285|68 75|App gene
P07592790A1457|68 75|serpins
P10344736A0796|67 74|p21Cip1
P01716629A0000|70 77|undulin
P09447973A0168|69 76|MyrSos1
P09731704A0000|69 76|ERalpha
P02989786A0328|67 73|CATase
P08756712A0227|67 72|RPA 70
P07509449A0000|67 73|p47gag
P10918599A0071|67 73|E2F-3B
P08939966A0816|68 73|SEC-1
P10400593A1084|68 73|virE1
P09311796A0218|69 74|IEP86
P08262054A0565|69 74|LMP2A
P10588946A0432|68 73|ORP-6
P08106398A1003|66 71|nisin
P09121454A1328|67 72|Mot1p
P02693208A0166|69 73|rad1
P11280799A1025|69 73|IL-8
P07852400A0519|67 71|Rac1
P11158326A1032|66 70|R47G
P08386317T0000|72 76|CREB
P07935383A0108|67 71|CstF
P08810278A0682|68 72|CRKL
P09920930A0959|67 71|AP-1
P11572467A0658|67 71|t-PA
P10359575A0317|69 73|hIgA
P08647086T0000|69 73|Cdk2
P11395469A1373|66 70|sid1
P08264631A0746|68 72|ADR1
P10748113A0187|66 70|RIM1
P11211936A1490|69 73|SAPK
P07941750A0344|66 70|HyuA
P08763953A0805|66 70|traG
P11323411A0505|66 70|Gab1
P07665477A0901|66 70|esaI
P00725534A0888|66 69|IgA
P08798643T0000|70 73|Cbl
P09388198A1396|68 71|JNK
P09774450A0000|70 73|GGL
P03568311A0273|69 72|RAP
P08088777A0754|68 71|Dbh
P10207090A0801|68 71|p50
P02308496A0000|64 67|TSH
P11062067A0000|70 73|JNK
P03443566A0675|68 70|TR
P09990507A0000|71 73|E3
P09658104T0000|68 110|Rous sarcoma virus long terminal repeat promoter
P11071852A0297|65 101|reverse transcription-polymerase chain
P11294895A0292|69 97|Saccharomyces cerevisiae Sec14
P08413239A0490|70 95|Pol II-specific U snRNA genes
P09545332A0137|68 93|insulin receptor substrate 1
P08483412A0000|70 96|sigma 54-dependent promoters
P02969316A0002|68 92|atrial natriuretic peptide
P08576262A0160|70 93|heterotrimeric G proteins
P07635140A0172|67 91|tissue-specific promoters
P08013457A0342|71 93|tyrosine kinase receptor
P01078982A0227|69 91|antilymphocyte globulin
P09139910A0350|69 90|nifV-like DNA fragments
P10469140A0336|68 89|PAI-2 proximal promoter
P07707531A0550|68 87|alpha 4-2 binding site
P07935491A1182|72 92|retinoic acid receptor
P11038366A1322|70 88|yeast B-type subunit
P11198424T0000|69 89|phytosulfokine-alpha
P10567430A0785|69 88|N-terminal construct
P08400240A0166|67 84|A gamma-globin gene
P07936635A1134|68 84|wild-type protein
P09753241A0524|70 85|myeloperoxidase
P10471696A0734|65 78|HMR-E silencer
P08978817A0620|69 82|mutants end4-1
P08144631A0000|71 83|Src homology 2
P10390158A1150|68 80|tiGH promoter
P01864821A0000|67 78|globin chain
P11504545A0393|72 82|NF1 factors
P07666414A0614|70 79|a promoter
P11179687A1118|70 79|Ig members
P10224293A2021|69 79|RPTP-kappa
P01321332A0970|69 77|RXR alpha
P09694897T0000|70 78|U6 snRNAs
P08226956A1397|68 76|fad7 mRNA
P09011744A0790|69 77|epsilon 1
P08721999A0727|67 74|28S rRNA
P09009208A0337|65 72|Tf1 mRNA
P09030781A0734|71 78|cyclin A
P01904154A0164|69 75|Ig loci
P09858714A1171|69 76|sigma70
P07667097A0267|68 74|mAb CC3
P09727046A0784|68 74|GATA-1
P11376007A0584|69 75|DNA-PK
P10453006A0478|67 73|PSMB11
P09507032A1144|70 75|CSF-1
P11704829A0312|74 79|mda-7
P10819327T0000|70 75|KIF3A
P10454533A0859|67 72|Hsc70
P11145887A1393|68 73|Fra-2
P09336455A0000|67 72|GAL10
P01243628A0286|67 71|COHb
P10334888A0960|69 73|IL-8
P10866323A0666|69 73|STAT
P09718372T0000|71 75|Sty1
P08824585A0260|69 73|HPK1
P09212059A1356|72 76|PR-A
P10698516T0000|69 73|SAPK
P08280476A0602|67 71|Z2Z6
P01297332A0983|68 72|SWI4
P07791760A0424|69 73|MAPK
P10751398A1135|70 74|CD40
P07926748A0383|68 72|NOT3
P09367392A0567|67 71|RNA3
P08723352A0084|72 76|cdks
P10557072A0127|70 74|ULK1
P08621384A0935|71 75|EGFR
P10790390X0000|71 75|mdg4
P09049304A1193|69 72|VPF
P10050883A0967|70 73|p53
P10529354A0375|69 72|20S
P09837978T0093|73 76|JNK
P01542565A0220|69 72|L12
P08644734A0404|69 72|dsh
P09079625A0935|69 72|PKC
P10675331A0600|70 73|Shc
P07479004A0421|70 72|P1
P07951410A0647|67 69|RB
P02894789A0954|69 71|T1
P10454570A0846|71 120|stress-activated protein kinase-Jun N-terminal kinase
P09343210A1112|71 113|chloramphenicol acetyltransferase constructs
P10402467T0000|70 104|urokinase-type plasminogen activator
P07663160A0287|70 100|Escherichia coli 16S ribosomal RNA
P08668210A0000|71 101|mitogen-activated protein kinase
P03133250A0000|71 98|human menopausal gonadotropin
P11042199A0572|71 97|receptor-associated protein
P06786756T0000|69 93|immunoglobulin delta genes
P10542281A0382|69 93|immunoglobulin-fold motif
P11275986A0091|68 88|ubiquitin/proteasome
P08702936A0168|71 89|phytohemagglutinin
P06163433T0000|75 91|monoamine oxidase
P07607342A0703|70 85|aldose reductase
P09784245T0000|71 85|protein kinase C
P11155096A0222|71 86|serum antibodies
P08975713A0454|68 82|p53p2 start site
P01388160A1102|68 82|epsilon peptide
P09451857T0001|72 86|creatine kinase
P07616569A0168|69 83|apocytochrome b
P10349084T0000|71 85|immune globulin
P09640162A0242|71 84|growth hormone
P02166040A0385|70 83|chimeric genes
P09321657A0439|69 82|cox3 promoters
P09637689A0150|68 81|RNA polymerase
P01918073A0150|71 83|TnI sequences
P07539119A0291|70 82|NH2-terminus
P08106325A0000|71 82|tox operator
P09694869A0932|66 77|p21 promoter
P09735286A0599|68 78|Mu B protein
P08111035A0098|68 79|oleosin gene
P07836406A0884|72 82|cdc2 kinase
P11282029A0075|72 82|CCAAT motif
P10736223A1227|68 78|Qa promoter
P11241215A0566|69 80|thioredoxin
P10491133A0365|69 79|HO isozymes
P07665187A0208|67 77|Nramp1 mRNA
P07767011A0689|70 79|hprt locus
P09225506A0462|71 79|V and VIII
P05425195T0001|73 82|EC 2.6.1.2
P07759529A0288|69 77|phox gene
P09205113A0587|67 75|HPRT gene
P08657150A1049|68 76|SIN5 gene
P09344650A0967|70 78|Casr-rs1
P11080796A1277|70 78|IKKalpha
P09840932A0365|68 75|cyclin A
P02806916A0000|71 79|cystatin
P06755468A0180|67 74|cob gene
P11283168A0738|70 77|Gus gene
P11181525T0000|73 79|AR gene
P06281759A1086|69 75|PL mRNA
P10364076A0429|70 77|SREBP-1
P08576042A0765|68 74|phrcA+
P10413607A0085|70 76|pepsin
P10951579A1238|71 77|wt-p53
P01657594A0472|71 76|cgs1+
P10787437A1616|69 74|SRE-1
P08230445A0000|68 73|HIV-1
P08345191A1140|68 73|bcl-2
P02188096A0955|70 75|c-myb
P11251104A0526|71 76|GAMyb
P00231555T0001|74 78|ACTH
P03915540A0863|71 75|GCN4
P03199436A1060|72 76|petB
P10094701A0000|68 72|ackA
P09751114A1987|68 72|MyoD
P08336698T0000|71 75|TFE3
P10603349A1667|70 74|Myf5
P10594239T0000|71 75|Tih1
P08401614A0187|67 71|PAL2
P11438654A1237|70 74|PI3K
P08598449A0784|69 73|CD38
P09409821T0000|70 74|umuC
P01618256A0521|72 75|l-1
P10330168A0135|73 76|Cdk
P09813203T0000|69 72|LAI
P06763897A0216|70 73|AII
P09305755A0540|71 74|Sp1
P10704338A0354|67 70|p24
P07652575A0435|69 72|Rho
P08843412A0543|68 70|TR
P10526670A1828|72 74|CK
P11478627A0573|66 68|Y2
P10101198A0946|69 117|human mitochondrial transcription termination factor
P08522175A0306|69 119|heterodimeric nascent-polypeptide-associated complex
P10224289T0000|69 91|T cell receptor zeta chain
P08188258A0000|73 98|aminoacyl-tRNA synthetases
P11321187A0355|71 95|C. pneumoniae-specific IgG
P03628596A0000|70 93|acid alpha 1-glycoprotein
P07721878A1163|68 90|p33 Grb2-binding protein
P10864496A0401|71 92|nrgAB promoter fragment
P11133741A0617|73 95|NF-kappaB-binding sites
P10360839A1338|69 88|KRAB zinc finger genes
P11318608A0669|70 90|full-length DENTT cDNA
P02145268A1454|70 90|mammalian collagenase
P08294511A0639|69 88|U1-specific, protein
P07982995A0000|72 90|PDGF) beta-receptor
P05960999T0001|71 88|C-reactive protein
P11007954A0170|71 85|Son of sevenless
P04033402A1112|73 89|HDL2-cholesterol
P10491213A0263|73 87|bone Gla protein
P11313386A0704|72 85|B cell receptor
P08237578A0253|72 87|LDL-cholesterol
P08343961A0000|70 83|bicoid protein
P08756636T0000|71 83|Srs2 helicase
P10931950A0869|73 85|wild-type p27
P10202006A1266|72 84|anti-Z-DNA Ab
P02175908A0805|67 78|mutant locus
P03296254A0556|72 83|prothrombin
P11433014A0683|68 79|non-histone
P10864641A1400|72 82|HA molecule
P09895323T0000|70 80|Hoxb3 genes
P10561095A2141|71 81|calcitonin
P02024488A0506|67 75|HIV-1 LTR
P02383693A0301|71 80|lucigenin
P01569584A0672|73 81|m6F6 cDNA
P06131378A0818|68 76|DHFR cDNA
P07926774A0652|67 75|E2F sites
P08065901A0997|69 77|ZFP genes
P00986925A0002|70 78|glucagon
P07876210A0751|71 79|P450BM-3
P08985415A1096|70 77|CAEV LTR
P08661101A0396|70 77|rat CRP1
P07859739T0000|70 77|p16INK4
P01711048T0000|69 75|COL1A2
P02243386A0113|68 73|DIssF
P08383217A0357|69 74|Bel-1
P07760844A0413|71 76|c-jun
P08213747A0000|71 76|HIV-1
P09880327A0322|69 74|Uso1p
P11027267A0752|70 75|Kri1p
P11368901A0327|68 73|RTE-1
P09826434T0000|73 78|PDE3A
P07600111A0000|70 75|HIV-2
P01516829A0460|70 74|SNF5
P10364523T0000|72 76|SOX9
P08676456A0879|72 76|AP-1
P10611320A0816|73 77|CAK1
P09032328A0650|72 76|DL-B
P10891399A1185|73 77|Cip1
P09884232A0286|71 75|attR
P10684111A1411|68 72|MAPK
P10467004A0683|68 72|EBS2
P10555285A1065|72 76|FUT3
P06212776A0000|70 74|G6PD
P10913094A0424|72 76|AdpA
P08798635A0870|71 75|ARF5
P08551572A0155|74 78|ICP4
P10653693A0429|73 77|RBCC
P09611234A0098|72 76|LAZ3
P09487130A0383|69 73|Cdc2
P08106313A1492|68 72|HrpR
P10529198A0068|70 74|p140
P07933101A0131|70 73|Tat
P08709224T0000|70 73|SWI
P10235265A0197|73 76|APC
P10734312A0503|71 74|Shc
P08421910A0599|68 71|p56
P11278610A0902|70 73|TEL
P10024882A0541|71 74|CTD
P02743981A0347|74 77|L1e
P01331501A0397|71 74|E1A
P10823961A0664|69 72|ARC
P09287352A0930|72 75|EGF
P11559821A1315|71 74|Tax
P08621420A1166|69 72|p65
P10982825A0363|66 69|OpA
P09733794A1323|69 72|Bad
P09182707A0254|73 76|FAK
P08405433A0000|71 73|P2
P10662614A0972|70 72|P3
P01341119A0450|70 72|H2
P09148935A0805|71 73|FN
P10909973A1508|68 70|M1
P08769566A0000|70 114|zinc finger homeodomain enhancer-binding protein
P11289135A0975|70 106|mitogen-activated protein kinase kinase
P03920700A0491|74 106|muscarinic and alpha 1 adrenoceptors
P01993656A1860|69 102|guanine nucleotide-binding proteins
P09799362A0507|73 105|Asparagine-rich Zinc Finger protein
P08589735A0577|71 102|Arabidopsis alcohol dehydrogenase
P11319098A0164|72 97|antiterminator protein NusG
P01371272A1167|72 95|yeast DNA polymerase alpha
P11295470A0954|71 92|B cell specific promoter
P10393422A0476|70 90|LAMB2-like pseudogene
P02122454A1042|71 88|lambda I light chain
P08439564A0883|69 87|rat intrinsic factor
P08144615A0533|71 88|NF-IL6 bZIP domains
P11063127A0000|74 92|protein phosphatase
P02307850A0000|70 85|NK cell protease 1
P10833461A0603|70 86|full length UGT2B7
P08395654T0000|72 88|rat aromatase gene
P07559356T0000|72 88|Fnr-type promoter
P09819411A0897|70 86|Ets-binding sites
P09573378A0761|70 85|28S ribosomal RNA
P08617311A0979|71 84|mammalian mIgG
P09579808A0000|79 90|EC 2.4.1.143
P02330041A0335|74 84|cloned hUBF
P10606245A0906|72 82|OC promoter
P01548756A1102|72 81|EHS-1 loci
P10395199A0792|71 79|Y259 scFv
P10458914A0674|70 78|STAP gene
P09863624A2301|74 83|Tyr0-oCRF
P08190633A0000|69 77|HLA locus
P00377466A0188|74 83|prolactin
P09731513A1090|73 82|NF-kappaB
P09090054A0186|70 78|permease
P10480937A0000|71 79|DAKAP200
P09199292A0536|72 79|cyclin A
P09524276A0939|71 79|catalase
P06328012A0549|73 80|BamHI-K
P01671675A0483|71 78|pCAD142
P03020513T0000|71 77|gyrase
P09712859A1110|70 76|HTLV-I
P07823951A1100|73 79|globin
P10843716A0406|73 79|mastin
P08001966A0563|72 78|skin-1
P08088777A0754|72 78|Notch1
P03836777T0001|71 76|HBs Ag
P11207282A0729|72 78|Notch2
P07816049A1157|72 78|Athyp1
P08546707T0000|72 77|c-Rel
P08575754T0000|75 80|INK4d
P11106428A0635|71 76|FAP-1
P08937989A1365|70 75|actin
P11058120A0256|71 76|IRF-1
P08918885A1087|71 76|ste12
P10653693A0903|71 76|KAP-1
P11106667A1061|71 76|Cox2p
P08955402A0288|70 74|HOL1
P09503526A0614|73 77|WFAg
P09824158A1336|70 74|SMRT
P09326317A0372|69 73|EXT1
P02200736A1003|71 75|MLTF
P09735366A1180|72 76|Epc1
P09321930A0567|70 74|WAF1
P07862092A0302|71 75|sdp1
P11589568A0744|71 75|Bub1
P09786926A1372|70 74|ADD1
P08091669A0828|69 72|p35
P10392903A0000|71 74|p53
P10764802A1258|70 73|Cip
P09545312A1197|70 73|SRF
P09512550T0000|71 74|CBP
P10828022A0877|72 75|Shb
P02647918A0588|71 73|GH
P09086268A0611|71 73|P2
P08625806A0263|69 71|r5
P08538702A0214|71 144|gp15/400 'ladder' protein of Brugia malayi, Brugia pahangi and Wuchereria bancrofti
P11016014A0181|72 110|apolipoprotein B-containing lipoproteins
P07916326A0000|73 105|murine homeodomain-containing gene
P09447979A1430|72 103|guanine nucleotide exchange factor
P02196565A0606|75 106|RAP1)/translation upstream factor
P07929431A0949|72 104|chloramphenicol acetyltransferase
P09657003T0000|75 101|mitochondrial virus-like RNA
P08636124A0410|72 97|SH2-binding phosphoprotein
P10066815T0000|74 98|phosphoinositide 3-kinase
P08413223A0847|70 91|simian virus 40 promoter
P11264372T0000|75 94|herpes simplex virus 1
P07597804A1007|68 88|glycoprotein gene EUS4
P11466227A1665|71 91|EB*-mTf-CAT construct
P08361754A0733|70 89|Maf-related proteins
P02252891T0000|75 93|actin-binding sites
P00881630A0000|70 87|Direct Lytic Factor
P02445751A0925|70 87|cytochrome oxidase
P08157009T0000|71 88|mammalian clathrin
P06316347A0852|72 90|beta-galactosidase
P03597218A0901|75 90|antithrombin III
P02748595A0492|69 82|human ADH-beta
P09293006A1412|69 82|aphII promoter
P09442172A0908|73 86|gonadotrophin
P09010223A0667|72 84|PU.1 proteins
P08496601A1153|71 82|CK-1 element
P09234696A0238|75 86|MAP) kinases
P02496109A0754|72 83|alpha region
P08728040T0000|75 86|Janus kinase
P07708497A0000|75 85|T3 receptor
P08632018A0587|72 82|UGT1A1 gene
P08382778A0891|71 81|Raf kinases
P09769209A0100|72 82|nasF operon
P11013079A0927|73 82|mouse gene
P09077108A0458|72 81|TNF-alpha
P10223338A1601|73 81|HIV-2 gag
P11012671A0576|74 83|C/EBPbeta
P09649438A0182|74 81|cyclin T
P11080796A0883|73 81|IKKgamma
P10215608A0161|71 78|rGST Yc1
P10586115A0477|73 81|IL-1beta
P10364314A0919|70 77|NS2 gene
P11416012T0000|74 81|insulin
P10339566A0602|72 78|Spc94p
P10938102A1359|73 79|eIF4GI
P07675449A0848|72 77|PDGFR
P09931435A0357|70 75|ZIS-1
P11486032A1261|74 79|RUNX1
P10687855A1197|74 79|Zn-16
P08501030A0456|74 78|narL
P09837978T0093|77 81|SAPK
P02545903A0639|71 75|NS3A
P11238375A0617|70 74|ERK6
P08825636T0000|72 76|p105
P11471077A0382|71 75|TRA2
P10874044A0647|73 77|ERK2
P08139562A0404|71 75|GCN4
P08618433A0000|71 75|FLT3
P09369482A0690|75 79|HNF4
P09388200A0639|74 78|MDM2
P10741850A0452|74 78|GCSh
P08189533A0203|71 75|NS53
P10544037A0617|70 74|FZD4
P10992299A0745|72 76|PI12
P08524229T0000|77 81|SRS4
P09049304A1193|73 77|VEGF
P10872831A0000|74 78|EPOR
P01851527T0000|74 77|APP
P01907941A0275|69 72|Rel
P09920930A0959|72 75|Luc
P10607566A0880|74 77|RAR
P09501093A0071|72 75|Ras
P11237491A0000|73 76|CEA
P08970984A0765|73 76|SRF
P08702556A0000|74 77|PAP
P09388198A1396|72 75|ERK
P10652102A0620|73 76|Ty1
P08300601A0745|70 73|E12
P09478971A1896|72 75|AhR
P09079902A0713|71 74|Pra
P09067577A0721|74 77|C3G
P08124912A0456|71 74|LDH
P09822652A1118|72 75|Sp1
P07479004A0421|73 75|P2
P07865876A1292|73 75|DP
P10781423A0993|72 130|homeodomain transcription factor thyroid transcription factor-1
P09537295A0951|71 107|reverse transcriptase-polymerase chain
P10792583A0000|74 109|pituitary adrenocorticotropic hormone
P10646863A0838|75 105|endogenous topoisomerase IIalpha
P11145743A0170|72 99|thyroid transcription factor 1
P09621893A0000|75 103|vascular alpha2-adrenoceptors
P11323419T0000|74 101|1,2)fucosyltransferase genes
P07885999A0000|72 91|mouse tyrosinase gene
P02164588A0266|72 91|signal-anchor domain
P09046090T0000|73 91|glucose transporter
P10545248A0567|73 91|homeodomain protein
P08631934A0000|71 88|DNA-binding domain
P01735447A0271|74 91|pre-super-pro-PrB
P01297332A0983|73 89|6-dependent genes
P10572131A0000|73 88|nasFEDCBA operon
P02115572A1323|69 83|U266 lambda gene
P06246254A0676|75 87|src sequences
P01309910A0428|74 86|CREB2 protein
P07498727A0724|73 85|rad18 mutator
P01869565A1254|72 83|ADH promoter
P08556707A1390|74 85|p53 promoter
P08321203A0840|72 82|C/EBP delta
P09811730A1396|76 86|KCS element
P08836172A1382|74 83|RVR delta E
P08917435A0481|72 81|PAI-1 gene
P11259503A0212|73 83|luciferase
P09647233A0336|73 82|NF-kappa B
P07490079A0825|73 82|human STEP
P10209119A0594|73 82|pop2 genes
P08016102A1238|73 82|NF-kappa B
P09199970A1101|75 84|I cofactor
P07784078A1064|72 80|RAR alpha
P08407784A0850|76 85|hyper-UVr
P09891065A1493|75 84|PKC-alpha
P11264176A0181|71 79|cyclin A2
P02237431A0833|69 76|T alpha 2
P08093642A0600|73 81|RET locus
P09599664A0881|72 79|RXR beta
P09593302A1165|77 85|A-domain
P01732752A0156|74 80|LT mRNA
P07811964A1252|74 80|EmBP-1
P10330168A0135|77 83|Cdc28p
P07814388A0662|72 77|IGF II
P09190202A0166|73 79|Sec24p
P08621730T0000|73 79|COL1A2
P09701609A0116|75 81|PhLOP2
P03065621T0000|74 79|MRP13
P10358079A0391|76 81|Stat5
P08043523A0000|75 80|nAChR
P10669594A0000|75 80|SEF17
P09030688A0435|74 79|Rap1p
P09195923A0125|72 77|hsp90
P09837714A1068|75 80|DdRPA
P09430661A0796|75 80|EphB1
P02595451A1136|73 77|TCL2
P08139543A1520|74 78|SLT2
P09079650A0136|74 78|MAPK
P11297545A0948|74 78|CHOP
P09718372T0000|76 80|Spc1
P10909973A1508|71 75|CREB
P09528770A1379|74 78|IREu
P10799501A1391|74 78|SPRK
P08731511A0625|72 76|HCII
P09566876A0000|74 77|TBP
P10698516T0000|74 77|JNK
P08628681A0821|73 76|exo
P08144852A0000|76 79|AVP
